summary,reviewText,overall,sentiment,enhanced_rating
Couldn't have been happier with it's performance,"This worked really well for what I used it for. So for my purposes it is getting full marks. This is an all around great, durable, and afforable sandpaper.

Pros:
-Grit cuts really fast and evenly. No random deep scratches like I have seen in some cheaper paper
-Didn't even have a hint of clogging up.
-The adhesive is just what I needed. No permanent, but wasn't going anywhere.

Cons:
-None",5,0.3,4.518518518518518
Good paper.,Fast cutting and good adheasive.,5,0.24999999999999997,4.6690000000000005
Handy!,"Worked great for my lapping bench.  I would like it if the adhesive were backed with waxed paper for storage and keeping the grit out, but all but the first 6 inches or so still functioned when it arrived.  I used rubber cement to remedy that.",5,0.6,4.044436507936508
As advertised,As advertised,4,0.0,3.44
seems like a pretty good value as opposed to buying it ...,seems like a pretty good value as opposed to buying it at the big box stores by the sheet.,5,0.38,4.668
Five Stars,Good Product,5,0.7,4.640000000000001
Works great on flat surfaces,This stuff is great. Adhesive on the back and you can place a strip on a superior flat surface such as a cast iron table saw wing or on a piece of granite countertop and you have a perfectly flat sanding board.,5,0.27812500000000007,4.147458333333334
Five Stars,strap and lap it with this roll and keep on moving,5,0.0,4.048046536796537
Five Stars,Works great on speed bloc sander.,5,0.8,4.8
works well,Only used a small amount ot the paper but it works with the porter cable profile sander,4,-0.125,3.74
Great product and comes in a number of grits!!,"Absolutely love this and my ""old"" Porter Cable 330!!

I also use this product on my hand sanding block.",5,0.5520833333333334,4.559611111111111
Works great on flat surfaces,This stuff is great. Adhesive on the back and you can place a strip on a superior flat surface such as a cast iron table saw wing or on a piece of granite countertop and you have a perfectly flat sanding board.,5,0.27812500000000007,4.147458333333334
Rehabilitate Tools,"I cut off little pieces and stick them to a piece of hard board, and use them to dress plane irons and chisels that actually have nicks in the edges.  It's a little coarse for sharpening, but it's good for removing material to get the backs of  plane irons and chisels flat, establish the bevel, get them square across, and get them ready for sharpening.  I have rehabilitated tools that I had quit using.",5,0.026041666666666654,4.369583333333333
Great Sandpaper!,"As a hobbyist, I frequently need to sand the surfaces of the items I create.  Being able to stick strips of this PSA sandpaper to a tongue depressor gives me the perfect control that I need to sand small areas.  Great sandpaper!",5,0.5583333333333333,4.375333333333334
Satisfied,Good product. I stick a length to my workbench where I carve and use my Dremel. Handy for the poor mans jointer trick too.,5,0.35,4.197555555555556
It sticks VERY well.,"You know that super sticky glue they put on insect and mouse traps.  Same stuff apparently, or maybe it's surplus industrial adhesive, but it's too strong.  Good luck peeling this stuff off of something.  Although if your sticking it onto a block of wood for a sanding block it works really well.",3,0.2738095238095238,3.1916666666666664
Works good,Worked well with the Proter Cable Profile sander just had to cut off the size needed to go on the profile . .,4,0.7,3.7394444444444446
Four Stars,The alternative,4,0.0,3.5
Love this stuff,"After trying to get the sandpaper latches to open on my palm sander to no avail, I got this adhesive-backed sandpaper. Stuck a piece on and it is still stuck and sanding after a week! Less waste too, since there's no need to wrap around to catch in the latches. I'd never used sticky-backed before but now I'm a convert.  Very quick to stick on.",5,0.11333333333333333,4.3490918964076855
Four Stars,"decent quality sand paper, it doesn't seem to last as long as other papers in same grits",4,-0.0016666666666666692,3.8916666666666666
Five Stars,Works flawlessly.,5,1.0,3.94
Great product!,"As stated in another of my reviews, this just great!
And ... it comes in several grits.",5,0.6666666666666666,4.710416666666667
Can't live with out it.,"I've been using this ""sticket"" sandpaper for years.  My son borrowed my 120 grit, and I already know it will never find it's way back home, so I ordered a replacement roll.  I always keep some 80, 120, and 150 grit in my shop.  I can't sleep at night if one of them is missing.  I love it.",5,0.10909090909090909,4.576666666666666
The Nitty Gritty,Its gritty and it sticks. Perfect for your pad sander or your wood sanding blocks.. I have several grits. So much cheaper than buying single 8x11 sheets.,5,0.1880952380952381,4.675282372598162
Great Sandpaper,"As a hobbyist, I frequently need to sand the surfaces of the items I create.  Being able to stick strips of this PSA sandpaper to a tongue depressor gives me the perfect control that I need to sand small areas.  Great sandpaper!",5,0.525,4.375333333333334
Five Stars,Great sandpaper,5,0.8,4.327
Great sand paper,"I have been using this all week with a sanding project I am doing with garden furniture... they work great... stick amazing.. and last a long time... Great product
I have been using this with Trade Associates AF44L 7 Piece Dura Block...they work great together",5,0.5357142857142857,4.827142857142857
WELL MADE PRODUCT,JUST STARTED USING THIS AND SO FAR i LOVE IT. GIVES MORE FLEXIBILITY FOR CHANGING OUT GRITS ON MY SPINDLE SANDER. STICKS TO SPINDLE BETTER THAN PRE-FORMED ONES.,5,0.4,4.630952380952381
Handy in a wood shop,"Use this in my woodshop, works great for facing table saw jigs for grip traction of work pieces. Use it for shop made sanding blocks, will by more when I run out.",5,0.6333333333333333,4.380140211640212
